ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
LIU_PROSTATE_CANCER_DN	LIU_PROSTATE_CANCER_DN	165	0.675329706575655	2.33484689188486	1e-10	1.1685e-07	1.01368421052632e-07	1453	tags=66%, list=21%, signal=54%	KRT13/RBP4/CCK/FOXQ1/EPHA2/CFD/CD248/CHST2/CAPG/CYP3A5/CLU/AKR1B1/ADAM33/ANO1/COL6A1/ATP1A2/EFS/ACOX2/GATA3/COL5A1/COL4A6/ARHGAP23/COL9A1/ADGRA2/CYS1/EPB41L3/COL16A1/CYP4B1/ECRG4/COL14A1/C1QTNF1/FBXO17/AEBP1/EHD2/ARHGEF40/COL1A2/GYPC/CRISPLD2/FLNA/CARMN/FGD5/CTSB/SEMA6D/DDB2/COL13A1/ADAMTS5/CHRDL1/CRYAB/EFEMP2/CX3CL1/EPHA7/FBN1/CAVIN1/AJUBA/ACACB/DSC3/ANKDD1A/CACHD1/DPT/ANGPTL2/GSTM3/ARL10/CSRP2/ATP2B4/AOC3/AHNAK2/CERK/BEND5/ANK2/ACTG2/DOK4/ACKR3/CSRP1/AQP3/FBLN5/FEZ1/DKK3/CLIC6/EEF2K/C1R/ADCY4/C2orf88/ADCY9/CHN1/DPYSL3/CDC42EP3/DES/VAV3/ACTA2/ANGPTL1/FGFR1/CPLX3/DDR2/FHDC1/CAV1/CLMP/DAB2IP/CNRIP1/FCGBP/C1S/DTNA/COL4A2/EPAS1/EYA4/BTG3/EFEMP1/EVA1C/BDH2/DMKN
CHEN_METABOLIC_SYNDROM_NETWORK	CHEN_METABOLIC_SYNDROM_NETWORK	372	0.532939536500305	1.96663204856982	1e-10	1.1685e-07	1.01368421052632e-07	1809	tags=48%, list=26%, signal=37%	CYP4F2/CCL3/COL1A1/EGR2/CAPG/FSCN1/CD68/ARHGAP22/FBLN2/EMILIN1/ATF3/CTSD/CCRL2/DOCK8/ANPEP/COL6A1/AFAP1L2/CD14/CPXM1/CA2/ADAP2/COL5A1/CSF3R/DOK2/CLEC7A/CTSS/LY86/ADCY7/CD83/CCL4/SYK/CD37/CYBA/EPB41L3/BCL2A1/COL16A1/NRROS/COL14A1/CYTH4/BGN/CD22/EHD2/BIRC5/COL1A2/DYSF/COL6A3/FLNA/CTSB/SEMA6D/BMP8B/F10/CYGB/NCF4/C1QC/ATP8B2/FERMT3/SCIMP/CD74/DUSP5/EFEMP2/FBN1/ARRB2/CAVIN1/ARHGAP4/FCGR1A/EMP3/ANKRD33B/AJUBA/CSF2RB/DOK3/TCEAL5/CACHD1/DPEP2/CXCL16/ADAMTS2/ADAM8/CMTM3/ABI3/ADPRH/CALHM2/FCGR2A/AGPAT4/DOCK2/FCER1G/LMO2/CSF1R/CCN4/ARHGAP25/CD34/CAMKK1/GPSM3/CTSK/ABCG1/CCDC80/CERCAM/ABCC5/CDK18/ARID3A/ARHGAP15/CCDC102A/FBLN5/C1QB/CD300A/BST1/AUTS2/CACNB3/C19orf47/CCR5/CHTF18/DPYSL3/ARMC7/PPM1J/COTL1/CORO1A/CD84/APBB1IP/CLBA1/COL5A2/CD274/ASF1B/ADCY6/DENND1C/ACVRL1/ABR/ARHGAP9/LRRC25/FHL2/AIF1/CHCHD6/CARD11/DNASE1L1/DENND4B/CNRIP1/DOCK10/CD86/FAM83F/AKNA/BTG3/ANXA4/ENTPD1/MFHAS1/DCK/CBR3/CCDC3/ETFB/CXCL14/AOPEP/CSTB/BMPER/ARAP1/ELOVL1/ANXA2/ENTPD2/C3AR1/CARD19/EPB41L2/COLGALT1/CLCN5/CHST12/COL8A1/DUSP18/CTC1/CD3E/ANO6/LAYN/CFL1/EBP/ADAM19/DCXR/FADS3/ELF3/ACP2/ATP6V1A/CALR/ALOX5AP/CYBB/FGD6/B4GALT7
NABA_MATRISOME	NABA_MATRISOME	238	0.529820946412402	1.8952998878511	3.65005741574027e-08	2.84339472686167e-05	2.46667037990027e-05	925	tags=41%, list=13%, signal=37%	SCUBE3/CCL18/CCN5/CCL3/CHRDL2/COL1A1/COL12A1/ANOS1/CSPG5/CXCL12/CRLF1/FAM20A/FBLN2/IL1B/EMILIN1/ADAM33/CTSD/ADAMTS12/COL6A1/EGLN3/CCN1/COLEC11/COL11A1/COL5A1/BMP5/FGF12/CLEC7A/COL6A2/COL4A6/CCN3/CTSS/COL9A1/CTSZ/CCL4/COL3A1/C1QTNF3/ARTN/COL16A1/ADAMTSL4/COL14A1/COL8A2/COMP/BMP4/ELN/C1QTNF1/BGN/COL18A1/AEBP1/CTF1/ADAMTSL2/EMILIN3/AREG/CST1/COL1A2/CLEC11A/COL6A3/CRISPLD2/C1QTNF5/CD109/CTSB/SEMA6D/BMP8B/CCL21/COL13A1/F10/ADAMTS5/CST2/C1QC/CHRDL1/EFEMP2/CX3CL1/FBN1/FBLN1/CST7/ADAMTS10/DPT/CSPG4/CTSC/ADAMTS2/ANGPTL2/ADAM8/FAM20C/CSF1/CSTA/CLEC3B/ECM1/CCN4/CTSK/DCN/COL28A1/C1QA/FBLN5/C1QB/TSKU/ADAM15/CTSA/COL17A1/COLQ
LINDGREN_BLADDER_CANCER_CLUSTER_2B	LINDGREN_BLADDER_CANCER_CLUSTER_2B	129	0.579483368544845	1.9442490845687	4.70314362558096e-07	0.000228864312041362	0.000198541839511593	1874	tags=64%, list=27%, signal=47%	EGR1/CXCL12/FBLN2/TMEM158/ANPEP/COL6A1/FCGR2B/ATP1A2/AURKB/CPXM1/CCN1/BMP5/COL6A2/CCN3/BCL2A1/COL16A1/CYTH4/ELN/COL18A1/AEBP1/COL1A2/COL6A3/CRISPLD2/SOCS3/EFHD1/SEMA6D/AQP1/FERMT3/DUSP5/CAVIN1/CNN3/EMP3/CST7/AMOTL2/ANGPTL2/AOC3/DOCK2/ARHGAP30/CERK/DPYSL2/CCDC80/ACTG2/CSRP1/ARHGAP15/DKK3/DAAM2/C1R/COTL1/CDC42EP3/COL15A1/TRAF1/COL5A2/ACTA2/CD52/EDNRA/DNAJB5/DDR2/DAB2/AIF1/CAV1/CNRIP1/C1S/CALM1/CDC25B/EFEMP1/ARL4C/ENTPD1/EBF1/COPZ2/ALDH2/C3AR1/EPB41L2/ANXA6/A2M/ADAM19/CELF2/ALOX5AP/IL27RA/CYBB/B3GNT2/ADGRE5/EBI3
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	257	0.497975928512508	1.79139326568937	4.89654069408135e-07	0.000228864312041362	0.000198541839511593	1614	tags=46%, list=23%, signal=37%	RBP4/SCUBE3/ARX/FOXQ1/EPHA2/CD248/COL12A1/EGR2/CXCL12/TENM4/FBLN2/ATF3/ANO1/DOCK8/CACNG4/EGLN3/AFAP1L2/CPXM1/CCN1/ADAP2/COL5A1/CCN3/FGFR3/ADCY7/CD83/VIPR2/CLDN23/UHRF1/ABLIM3/CFAP206/COL18A1/CLDN11/CPNE7/AREG/DLL4/CLDN5/GYPC/DYSF/GRHL3/CRISPLD2/AFAP1L1/ATP1B1/CNN2/ALS2CL/EFHD1/ADA/CARD10/ADAMTS5/EPHA3/ARHGEF17/CAVIN1/ANKRD33B/AJUBA/CSPG4/CXCL16/ADAMTS2/CSRP2/BARX2/HLX/EGR3/CDKN1C/DLX5/ADRA2A/EFNA5/KCTD11/HS3ST3B1/EGFR/A4GALT/PTPRU/CDK18/ACSF2/FIGN/ACER2/CCDC102A/TSKU/CLIC6/EVA1B/ADRA2C/CISH/PPM1J/DTL/ETNK2/CNIH3/NCAPH/EMILIN2/FAT4/ABAT/COL15A1/CDC42EP1/DOK1/IGF2BP2/BNC2/CGAS/DAB2/FHDC1/FHL3/BIK/LTB4R2/EBF4/CTDSP1/EPAS1/CDKN2B/EYA4/ABHD15/BMP6/ATP10A/EYA1/CCDC3/CXCL14/EBF1/COPZ2/EMP2/FLI1/SMO/BVES/ANXA2/ENTPD2/FBXL7
DELYS_THYROID_CANCER_UP	DELYS_THYROID_CANCER_UP	143	0.551842874193108	1.88282394333895	1.67045714930817e-06	0.000650643059655532	0.000564438678871497	1112	tags=41%, list=16%, signal=35%	KRT13/CHIT1/CCL18/APOC2/APOE/APOC1/EPHA2/COL1A1/CHST2/CAPG/ALOX15B/CRLF1/CTSD/CX3CR1/COL11A1/LRP4/CTSS/COL3A1/CD55/CYBA/BCL2A1/COMP/ADORA3/AREG/ETV5/CTSB/DDB2/COL13A1/C2/DUSP5/BCAT1/ALOX5/CYP1B1/EMP3/CDKN1A/CLDN7/DHCR7/CTSC/CCR1/C3/FCGR2A/AHNAK2/CSF1R/ECM1/ENC1/PTPRU/BHLHE40/C1QA/C1QB/CTSA/DPYSL3/EMILIN2/BMERB1/COL5A2/ALDH1A3/NR1D1/ABR/IGF2BP2
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	118	0.576580857761313	1.90736696463052	2.76846252061216e-06	0.000924270987238659	0.000801813355593837	1541	tags=60%, list=22%, signal=48%	APOE/COL1A1/FBLN2/AKR1B1/TMEM158/COL6A1/CCN1/COL11A1/COL5A1/CLEC7A/COL6A2/CTSS/ADCY7/COL3A1/CD55/COL16A1/COL14A1/COL8A2/COMP/ADORA3/BGN/AEBP1/ARHGEF40/COL1A2/CLEC11A/COL6A3/CRISPLD2/ETV5/CAVIN3/EMP1/CD74/EFEMP2/ALOX5/FBN1/CAVIN1/FCGR1A/EMP3/CSF2RB/AXL/ANGPTL2/CCR1/FCGR2A/AHNAK2/FCER1G/LMO2/CCN4/CTSK/DCN/ACKR3/C1QA/DACT1/CPVL/C1QB/CDH11/C1R/DPYSL3/COL15A1/COL5A2/EDNRA/DAB2/C1S/COL4A2/CLEC2B/F2R/CCL5/ARL4C/ENTPD1/DNM3/COPZ2/DPY19L1/FLI1
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN	OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN	89	0.603210490491081	1.91287666099673	5.03492320665279e-06	0.00108481332936602	0.000941085274580073	1863	tags=66%, list=27%, signal=49%	CCL18/DKK1/EPHA2/RASL11B/EMILIN1/COL5A1/COL6A2/ADGRA2/COL3A1/SYK/EFNB1/BGN/AEBP1/CNTNAP1/CR1/CNN2/CAVIN3/EMP1/ATP8B2/EFEMP2/ALOX5/FBN1/CYP1B1/EMP3/ADRA1A/STX11/ADAMTS2/ANGPTL2/ADAM8/AOC3/RPP25/ECM1/CITED2/EFHD2/BCL2L14/BST1/DKK3/CYP4F12/BDH1/COL5A2/ACTA2/BMP1/IGF2BP2/BNC2/DDR2/CLEC2B/CD82/EFEMP1/CCDC69/ALDH2/BCAS1/ATP2A3/ICAM2/ARHGAP17/CEP170B/CREB3L1/FAP/RAPGEFL1/DGKA
SWEET_LUNG_CANCER_KRAS_DN	SWEET_LUNG_CANCER_KRAS_DN	118	0.570827236097836	1.88833361008852	4.56020987782047e-06	0.00108481332936602	0.000941085274580073	1074	tags=38%, list=15%, signal=33%	KRT13/CCN5/ACKR2/CFD/COL1A1/CKMT2/IL1B/CCRL2/ATP1A2/CCN1/CA2/DUSP1/ABCA1/COL6A2/COL3A1/DNM1/CYP4B1/ADH1C/EDNRB/COL1A2/CLDN5/CAVIN3/CCL21/AQP1/COL13A1/CAVIN1/ANKRD33B/ENG/DPT/ANGPTL2/EDN1/C3/CDKN1C/CLEC3B/LMO2/DCN/CNTN1/ACKR3/BCL6B/CDH11/CDH5/ZBTB46/ACTA2/ABCC1/ACVRL1
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	139	0.545956647640623	1.85241720400121	5.02440033500718e-06	0.00108481332936602	0.000941085274580073	1471	tags=40%, list=21%, signal=32%	CCL18/CCL3/APOE/APOC1/CFD/CYP27A1/EGR1/ANOS1/ACP5/AKR1B1/IL1B/EMILIN1/CTSD/CCRL2/CX3CR1/CD14/C5AR1/LY86/CD55/EPB41L3/CHST15/GSDME/ARHGEF40/EMP1/CTSB/CMKLR1/BCAT1/ALOX5/FCGR1A/CYP1B1/DPEP2/CCR1/C3/CALHM2/CDKN1C/LMO2/DENND3/CTSK/LILRB2/C1QA/CD300A/CCR5/CD52/CNPY3/CD81/DAB2/AIF1/DHCR24/AOAH/C1S/CCDC69/ENTPD1/CPM/MFHAS1/AMPD2
