新版序号	risk	risk
T202	high	high
T231	high	high
T84	high	high
T551	high	high
T502	high	high
T498	high	high
T279	high	high
T349	high	high
T325	high	high
T64	high	high
T85	high	high
T265	high	high
T258	high	high
T166	high	high
T10	high	high
T378	high	high
T521	high	high
T72	high	high
T58	high	high
T659	high	high
T92	high	high
T172	high	high
T318	high	high
T613	high	high
T563	high	high
T608	high	high
T19	high	high
T600	high	high
T103	high	high
T339	high	high
T508	high	high
T705	high	high
T78	high	high
T577	high	high
T728	high	high
T661	high	high
T62	high	high
T12	high	high
T237	high	high
T431	high	high
T50	high	high
T125	high	high
T167	high	high
T71	high	high
T120	high	high
T57	high	high
T312	high	high
T487	high	high
T18	high	high
T326	high	high
T473	high	high
T185	high	high
T515	high	high
T123	high	high
T28	high	high
T283	high	high
T178	high	high
T399	high	high
T233	high	high
T729	high	high
T289	high	high
T111	high	high
T54	high	high
T375	high	high
T60	high	high
T209	high	high
T319	high	high
T480	low	low
T576	low	low
T384	low	low
T47	low	low
T727	low	low
T250	low	low
T585	low	low
T509	low	low
T587	low	low
T482	low	low
T273	low	low
T434	low	low
T132	low	low
T334	low	low
T335	low	low
T438	low	low
T286	low	low
T32	low	low
T210	low	low
T637	low	low
T61	low	low
T232	low	low
T467	low	low
T574	low	low
T109	low	low
T186	low	low
T23	low	low
T6	low	low
T716	low	low
T271	low	low
T160	low	low
T565	low	low
T229	low	low
T314	low	low
T393	low	low
T67	low	low
T329	low	low
T373	low	low
T643	low	low
T96	low	low
T114	low	low
T124	low	low
T496	low	low
T595	low	low
T605	low	low
T139	low	low
T182	low	low
T26	low	low
T34	low	low
T330	low	low
T201	low	low
T300	low	low
T513	low	low
T558	low	low
T198	low	low
T31	low	low
T69	low	low
T162	low	low
T607	low	low
T1	low	low
T408	low	low
T216	low	low
T340	low	low
T342	low	low
T391	low	low
T405	low	low
T133	low	low
