ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MCLACHLAN_DENTAL_CARIES_UP	MCLACHLAN_DENTAL_CARIES_UP	91	-0.832357655007075	-2.50384247037339	1e-10	9.7375e-09	6.50877192982456e-09	761	tags=78%, list=11%, signal=70%	CD93/CFD/ACKR1/COL15A1/IL1B/F13A1/ADM/CLEC2B/CXCL12/SOCS3/ANGPTL2/CD163/CFI/ALOX5AP/CD79A/DEPP1/CYTIP/CFB/FGL2/ARPC1B/CCL2/EVI2B/CCL3/CSF1R/C3AR1/CHST15/CPVL/NCF4/C4A/CYBB/CTSB/CD84/ARHGDIB/CORO1A/EVI2A/CD27/CD53/CXCR4/CCL5/C1QA/C1QB/ABCA1/FCGR2A/CXCL9/CTSC/CD48/FCER1G/CD37/CD74/CCR2/CSF2RB/CCR1/BCL2A1/CYBA/C5AR1/CD4/ADAMDEC1/CD14/ADA2/CXCL1/CRLF1/CLEC7A/FCGR2B/CTSS/CAPG/C3/APOE/CHI3L1/APOC1/CHI3L2/CCL18
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	118	-0.790585994365277	-2.4469804486691	1e-10	9.7375e-09	6.50877192982456e-09	1053	tags=78%, list=15%, signal=67%	ELK3/CFH/ENPEP/ECM2/CLEC11A/LMO2/DPYSL3/ATP10D/CCND2/COPZ2/SOBP/ALOX5/DPYD/CD93/COL6A2/CCN1/ENTPD1/COL14A1/CELF2/FLI1/FBLN2/CAVIN1/COL6A1/EDNRA/COL15A1/C1orf54/ACSL4/COL10A1/COL5A2/FBN1/ANXA1/ARHGEF40/CCN2/COL4A1/CLEC2B/CAVIN3/ANGPTL2/CD163/CCN4/EFEMP2/COL4A2/CASP1/F2R/ADCY7/COL16A1/COL5A1/C1S/COL1A2/FGL2/AXL/EMP3/CLEC4A/GFPT2/EVI2B/COL3A1/BGN/FAP/DACT1/ADAM19/C3AR1/CPVL/C1R/ADORA3/CDH11/ARL4C/ASPN/EVI2A/ACKR3/COL6A3/AEBP1/CD53/CCL5/C1QA/C1QB/FCGR2A/CTSK/FCER1G/CD74/COMP/COL8A2/CSF2RB/CCR1/AHNAK2/AKR1B1/CEMIP/COL1A1/FCGR1A/CLEC7A/CTSS/APOE/COL11A1/ETV1
WALLACE_PROSTATE_CANCER_RACE_UP	WALLACE_PROSTATE_CANCER_RACE_UP	101	-0.8011260028281	-2.43574104583392	1e-10	9.7375e-09	6.50877192982456e-09	946	tags=77%, list=14%, signal=68%	CHRDL1/BTN3A2/DLC1/CLDN5/COTL1/CPM/COL21A1/CMAHP/CD93/CELF2/SLFN12/FLI1/EDNRA/C1orf54/ADGRE5/APOL1/FBN1/ICAM2/CNN1/CLIC2/CCN4/APOBEC3G/FCMR/ALOX5AP/ADCY7/CD83/CDH2/ECHDC3/CYTIP/GPR183/CD28/DOCK10/FGL2/CLEC4A/CCL4/CD3D/EVI2B/ADAM28/DNAJC15/ADRA2C/CPZ/ARHGAP25/ARL4C/CD8A/CORO1A/CD69/EVI2A/CCR7/CD27/CD53/CXCR4/CD2/CCL5/C1QA/C1QB/ARHGAP15/CCR5/CXCL9/CTSC/CD86/CD48/FCER1G/LILRB2/DUSP2/CLU/CD37/TRAT1/CSF2RB/BCL2A1/AHNAK2/C5AR1/ADAMDEC1/ADA2/CD52/FCGR2B/CTSS/CCL19/APOE
SMID_BREAST_CANCER_NORMAL_LIKE_UP	SMID_BREAST_CANCER_NORMAL_LIKE_UP	155	-0.767059945648876	-2.43153766454477	1e-10	9.7375e-09	6.50877192982456e-09	964	tags=71%, list=14%, signal=63%	CHL1/CHRDL1/BTN3A2/FBLN5/C7/CAV1/DST/CLDN5/BIRC3/COTL1/GIMAP5/CASP10/DOC2B/ELMO1/CDO1/TNFRSF25/CD79B/EFEMP1/BCL11A/CCDC88A/ACKR1/COL14A1/CELF2/FLI1/ABCB1/CCDC69/AOC3/CD40/CD22/F13A1/ARHGAP4/FHL1/DES/ICAM2/CLEC2B/CNN1/CXCL12/ACTA2/CLIC2/CTSG/CFI/APOBEC3G/FCMR/CASP1/IL27RA/ARHGAP45/ACAP1/CD79A/DEPP1/CYTIP/C1S/GPR183/DOCK10/COL18A1/CSF2RA/CD96/CLEC4A/CCL2/CD3D/EVI2B/CD3G/ADAM28/PTPRCAP/ANK2/TRAF3IP3/CD72/CPVL/C1R/BIN2/NCF4/BTK/ARHGAP25/ARL4C/CD6/CD8A/CORO1A/CD69/CIITA/CD247/ARID5A/CD7/EMILIN1/AIF1/CCR7/CD27/DOCK2/ADH1B/CD2/AOAH/CCL5/COL17A1/ARHGAP15/CTSC/CD48/CLU/CD37/CD74/TRAT1/CCR2/CLEC10A/CD4/NTRK2/DOK2/FCER1A/CD52/C3/CCL19/CXCL2/CHI3L1/CCL21
LINDGREN_BLADDER_CANCER_CLUSTER_2B	LINDGREN_BLADDER_CANCER_CLUSTER_2B	129	-0.767509129151361	-2.40142080272711	1e-10	9.7375e-09	6.50877192982456e-09	1210	tags=75%, list=17%, signal=63%	RBP5/CDC42EP3/DAAM2/DKK3/AP1S2/CFL2/AQP1/ECM2/ELN/CLIC4/EDIL3/CAV1/BIRC3/COTL1/COPZ2/CSRP1/TRAF1/A2M/CDC25B/EGR1/ADAMTS9/DDR2/CNRIP1/EFEMP1/EBF1/COL6A2/CCN1/AURKB/CYBRD1/ENTPD1/DNAJB5/CELF2/EFHD1/DPYSL2/FBLN2/CAVIN1/EPB41L2/COL6A1/EDNRA/ANXA6/AOC3/LRRC8C/COL15A1/C1orf54/CCDC80/ADGRE5/COL5A2/CCN2/FHL1/CERK/FILIP1L/ACTG2/CXCL12/SOCS3/ACTA2/ANGPTL2/CLIC2/CTSG/ALOX5AP/IL27RA/COL16A1/ABI3BP/C1S/COL1A2/COL18A1/FGL2/EMP3/CCL2/EVI2B/ADAM19/C3AR1/EBI3/C1R/C4A/CYTH4/CYBB/ARL4C/DUSP5/CCN3/EVI2A/ARHGAP30/AIF1/COL6A3/DOCK2/AEBP1/CXCR4/ARHGAP15/CST7/BCL2A1/FERMT3/CLEC10A/CRIP1/CD52/FCGR2B/CPXM1/STUM/ETV1
RODWELL_AGING_KIDNEY_UP	RODWELL_AGING_KIDNEY_UP	144	-0.754641018663236	-2.38059757581465	1e-10	9.7375e-09	6.50877192982456e-09	915	tags=63%, list=13%, signal=56%	C7/EHBP1L1/ARHGEF6/BIRC3/CCND2/ACTN1/A2M/CORO1C/DRAM1/ALOX5/CDO1/TNFRSF25/CXCL16/DOK1/CCDC88A/COL14A1/CELF2/COL27A1/FIBIN/RFTN1/COL15A1/CMTM7/AKNA/ADGRE5/ANXA2/FBN1/CALHM2/DOK3/CMTM3/SOCS3/CXCL14/ADAM8/CASP1/BHLHE41/ARHGAP45/PIGR/COL5A1/DOCK11/C1S/COL1A2/CFB/AXL/EMP3/CLEC4A/ARPC1B/CCL2/COL3A1/CSF1R/MARCHF1/CHST15/FSCN1/C1R/C4A/ARHGAP25/CX3CR1/APBB1IP/CDH11/ARL4C/ARHGDIB/CORO1A/CD69/CCN3/EVI2A/ARHGAP30/PIK3CG/DOCK2/AEBP1/CD53/CXCR4/ADGRE2/CCL5/C1QA/C1QB/ANTXR1/C4orf48/FCER1G/COMP/COL8A2/C1QC/CCR1/BCL2A1/CALHM6/CLEC10A/CD14/CLDN1/COL1A1/CXCL1/CRIP1/CLEC7A/CTHRC1/CHI3L2
POOLA_INVASIVE_BREAST_CANCER_UP	POOLA_INVASIVE_BREAST_CANCER_UP	111	-0.754649302039743	-2.32674108267391	1e-10	9.7375e-09	6.50877192982456e-09	591	tags=62%, list=8%, signal=58%	COTL1/TRAF1/CPM/CD79B/CCDC88A/CD40/COL10A1/ECM1/COL5A2/CD163/CDC20/CCN4/BIRC5/FCMR/ADCY7/PIGR/CD79A/COL5A1/CYTIP/GPR183/CCL4/CD3D/EVI2B/CCL3/FAP/TRAF3IP3/BTK/ARHGAP25/GNLY/CDH11/CD6/CD69/EVI2A/AIF1/CCR7/COL6A3/CD27/DOCK2/CD53/CXCR4/CHST11/ADGRE2/CD2/BCAT1/FCGR2A/ARHGAP15/CXCL9/CTSC/CD86/CST7/CD48/FCER1G/LILRB2/CD74/TRAT1/CSF2RB/CCR1/BCL2A1/FCGR3A/CEMIP/ADAMDEC1/FCGR1A/CLEC7A/CD52/CTSS/COL11A1/APOC1/CCL18/CHIT1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HOSHIDA_LIVER_CANCER_SUBCLASS_S1	96	-0.760616746571428	-2.30925039942533	1e-10	9.7375e-09	6.50877192982456e-09	877	tags=59%, list=13%, signal=53%	CCND2/CDC25B/DDR2/EFEMP1/COL6A2/CCN1/CELF2/DPYSL2/COL6A1/COL15A1/F13A1/FHL3/COL5A2/FBN1/ANXA1/GYPC/CCN2/COL4A1/FCGBP/FLNA/ACTA2/CDC20/ADAM8/COL4A2/ALOX5AP/CRIP2/COL1A2/FGL2/ARPC1B/CD3D/COL3A1/CCL3/C3AR1/CYBB/CDH11/DUSP5/ARHGDIB/CD8A/CORO1A/AIF1/CCR7/AEBP1/CD53/CXCR4/IL2RB/CCL5/C1QB/FCGR2A/CTSC/CD48/CD37/CD74/BCL2A1/CYBA/CXCL1/CTSS/COL11A1
QI_PLASMACYTOMA_UP	QI_PLASMACYTOMA_UP	83	-0.770634658870513	-2.29703831412028	1e-10	9.7375e-09	6.50877192982456e-09	893	tags=60%, list=13%, signal=53%	DNAJB1/TRAF1/CLEC4E/BTG1/DOK1/CD40/CD22/ACTG2/ABI3/BHLHE40/ALOX5AP/CASP1/IL27RA/ADCY7/TUBB3/CD79A/FGL2/AXL/CCL4/UBASH3B/CD3D/CCL3/CD3G/CSF1R/FSCN1/CD3E/GPSM3/CARD11/DAPP1/ARHGDIB/CIITA/CD7/CD53/IL2RB/CCL5/FGR/CCR5/CST7/DUSP2/CLU/CD37/TRAT1/CCR2/CCR1/CD4/BATF/LY86/CAPG/CCL19/RBP4
SMID_BREAST_CANCER_LUMINAL_B_DN	SMID_BREAST_CANCER_LUMINAL_B_DN	174	-0.708749408812087	-2.26770651839963	1e-10	9.7375e-09	6.50877192982456e-09	1219	tags=71%, list=17%, signal=60%	CHST7/DCN/BACE2/APBA2/DTX4/CALD1/CRYAB/AKR1C1/ALDH1A1/AQP1/AMD1/ASS1/ELN/DLX5/ADCY2/CLIC4/CHRDL1/BTN3A2/FBLN5/C7/CAV1/DST/CSRP2/BIRC3/COTL1/GIMAP5/DZIP1/CAV2/CD79B/FHOD3/EFEMP1/BCL11A/CCN1/ACKR1/COL14A1/FBLN2/EPB41L2/APOD/FBLN1/CHRM3/FBXO17/NPTX2/CHST3/ANXA1/CHODL/CCN2/FHL1/ANP32E/ADM/ICAM2/ACTG2/CXCL12/FLNA/CX3CL1/CLIC2/GRB14/CFI/COL4A2/IL27RA/CDKN2A/DKK1/ACAP1/CD79A/DEPP1/CYTIP/C1S/GPR183/DSC3/ANGPTL4/CSF2RA/CAPN6/CDH3/CD96/CLEC4A/CCL2/CD3D/CD3G/PTPRCAP/ANK2/TRAF3IP3/FSCN1/BIN2/ARHGAP25/NINJ2/GNLY/ARL4C/CORO1A/GZMH/CD69/ADGRG6/CD247/CCN3/CD7/CCR7/CD27/DOCK2/ADH1B/CD2/CCL5/DEFB1/CXCL9/CTSC/CD48/CD37/TRAT1/CCR2/BCL2A1/CYBA/CLEC10A/ADAMDEC1/CLDN1/CXCL1/CRLF1/FCER1A/CD52/C3/CCL19/CXCL2/CHI3L1/CCL21/CHI3L2/PTPRZ1/CCL18/RBP4
