ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
NELSON_RESPONSE_TO_ANDROGEN_UP	NELSON_RESPONSE_TO_ANDROGEN_UP	25	0.729643250365985	2.36957610286662	0.00862369702824451	1	1	696	tags=40%, list=10%, signal=36%	ORM2/ADAMTS1/DNAJB9/AKAP12/DBI/C1orf21/CPD/ABCC4/ALDH1A3/CDC14B
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	25	0.69018409898312	2.24142928302098	0.0090659273964048	1	1	1248	tags=64%, list=18%, signal=53%	EHHADH/DBT/ALDH3A2/ACAT2/DLD/ALDH2/ALDH6A1/ACADSB/ACAD8/ACADM/ECHS1/ALDH9A1/ACAA2/ACAT1/ABAT/ALDH7A1
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	16	0.717203623320436	2.16032359135523	0.00264565645291021	1	1	1459	tags=81%, list=21%, signal=64%	ATP5MG/ATP5F1A/ATP5ME/ATP5MF/ATP5PF/ATP5PB/ATP5PO/ATP5F1B/ATP5F1E/ATP5F1C/ATP5PD/ATP5MC1/ATP5MC2
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	17	0.685153212364852	2.08171191486731	0.00532071824643659	1	1	1248	tags=71%, list=18%, signal=58%	EHHADH/ALDH3A2/ACAT2/ALDH2/ALDH6A1/ACADM/ECHS1/ACSS3/ALDH9A1/ACAT1/ABAT/ALDH7A1
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	60	0.524985804706355	2.01938057444602	0.0185752774765318	1	1	1684	tags=58%, list=24%, signal=45%	DNAJB9/ECT2/DPCD/DBI/CDKN3/CDK1/AQP11/ADH5/C1GALT1C1/CD46/ACTR6/RAD51AP1/DAD1/CCNB2/APOO/CMAS/DPM1/CAPZA2/EPDR1/FKBP11/CNN3/ARPC1A/COPS3/ATG3/ATF1/CCT2/C1QBP/ABHD6/CCNDBP1/DCTN3/C1orf112/CENPH/EMC4/DNAJA1/CIAO2A
ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF	ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF	18	-0.828185948194781	-2.0043487028322	0.00406320636402843	1	1	3	tags=33%, list=0%, signal=33%	GFPT2/F3/CLCF1/EGR3/ERRFI1/RNVU1-15
SCIBETTA_KDM5B_TARGETS_DN	SCIBETTA_KDM5B_TARGETS_DN	25	0.612702304098466	1.98980082010599	0.0102452105393217	1	1	1109	tags=44%, list=16%, signal=37%	FABP5/ARL6IP5/ECT2/CDK1/DLGAP5/FBXO5/CYB5A/BRCA1/CCNB1/DPY19L1/EIF5B
WP_OXIDATIVE_PHOSPHORYLATION	WP_OXIDATIVE_PHOSPHORYLATION	17	0.652247129652693	1.98173283979726	0.00839068843851097	1	1	1459	tags=76%, list=21%, signal=61%	ATP5MG/ATP5F1A/ATP5ME/ATP5MF/ATP5PF/ATP5PB/ATP5PO/ATP5F1B/ATP5F1E/ATP5PD/ATP6AP2/ATP5MC1/ATP5MC2
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	19	0.62918184474034	1.95674718567547	0.0125368489540182	1	1	827	tags=53%, list=12%, signal=47%	FABP5/CLGN/PNPLA4/ELOC/CDH2/ARL1/BRCA2/ADK/ADCK2/CASP6
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	38	0.541914595039087	1.95557119616009	0.0356413397779245	1	1	744	tags=32%, list=11%, signal=28%	ALB/ORM2/CD36/ENDOD1/CD109/CALU/APLP2/FAM3C/F8/ABCC4/CLEC3B/CALM1
REACTOME_CYTOPROTECTION_BY_HMOX1	REACTOME_CYTOPROTECTION_BY_HMOX1	26	0.579115041254819	1.93143003474875	0.00429527901594302	1	1	840	tags=27%, list=12%, signal=24%	ALB/COX6C/COX7B/COX18/CYCS/BLVRA/COX6A1
SEIDEN_ONCOGENESIS_BY_MET	SEIDEN_ONCOGENESIS_BY_MET	22	0.605190420253255	1.92428404448956	0.0120883516399841	1	1	1628	tags=68%, list=23%, signal=52%	CDK1/EEF1A2/CD46/AASDHPPT/ANXA3/DPM1/COMMD8/ANXA4/CLIC4/C6orf62/ARHGEF12/ADAM9/CSDE1/CAPZA1/F2RL1
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	22	0.596175930026615	1.89562126475641	0.0130031372222693	1	1	1856	tags=68%, list=27%, signal=50%	COX17/COX6C/COX7B/COX18/COX15/COX6A1/CMC1/COX5B/COX5A/COX8A/COX16/COA6/COX7A2/COX6B1/COX20
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	34	0.556355400296897	1.8928272078153	0.00414004386291706	1	1	1418	tags=65%, list=20%, signal=52%	BTG3/CDKN3/FH/CD47/COPB2/ATP13A3/CKS1B/CSE1L/COX7B/CYCS/CKS2/DPM1/ARF4/ATP5PB/COX6A1/ACP1/ATP5F1B/ATP1B3/ATP5F1C/B2M/ADAR/CKAP5
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	42	0.503049190645777	1.87475154263138	0.0130257577534552	1	1	1459	tags=57%, list=21%, signal=45%	COX6C/ATP5MG/ATP5F1A/ETFA/COX7B/COX18/CYCS/ATP5ME/ATP5MF/ATP5PF/ATP5PB/COX6A1/ATP5PO/ATP5F1B/ATP5F1E/ETFDH/ATP5F1C/ATP5PD/COX5B/COX5A/ATP5MC1/COX8A/COQ10B/ATP5MC2
REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION	21	0.602954886288722	1.87458116039532	0.00701017939078644	1	1	1459	tags=71%, list=21%, signal=57%	ATP5MG/ATP5F1A/ATP5ME/APOO/ATP5MF/ATP5PF/ATP5PB/ATP5PO/ATP5F1B/ATP5F1E/ATP5F1C/ATP5PD/APOOL/ATP5MC1/ATP5MC2
RUAN_RESPONSE_TO_TNF_DN	RUAN_RESPONSE_TO_TNF_DN	28	0.543908970073557	1.87333710412394	0.00740493068247831	1	1	640	tags=21%, list=9%, signal=20%	ORM2/FABP5/ARL4A/DBI/CDKN2C/ACADM
LEE_LIVER_CANCER_E2F1_DN	LEE_LIVER_CANCER_E2F1_DN	16	0.61649400271262	1.85697129055642	0.011957151797558	1	1	455	tags=31%, list=7%, signal=29%	ORM2/DBI/ABCG2/CFH/CCDC90B
NAKAMURA_METASTASIS_MODEL_UP	NAKAMURA_METASTASIS_MODEL_UP	15	0.613250821100174	1.83537286204912	0.0259709493675467	1	1	450	tags=33%, list=6%, signal=31%	KRT13/NTRK2/DPCD/COL17A1/NECTIN3-AS1
WIERENGA_PML_INTERACTOME	WIERENGA_PML_INTERACTOME	15	0.60250035059258	1.80319822624758	0.0292428161644576	1	1	4	tags=7%, list=0%, signal=7%	ALB
NIKOLSKY_BREAST_CANCER_8Q12_Q22_AMPLICON	NIKOLSKY_BREAST_CANCER_8Q12_Q22_AMPLICON	21	0.576876373190684	1.79350330456168	0.0120840928059932	1	1	1500	tags=62%, list=21%, signal=49%	FABP5/XKR9/ATP6V1C1/CHMP4C/CRISPLD1/COX6C/ELOC/DCAF13/CPQ/DECR1/AZIN1/RAD54B/DPY19L4
GUTIERREZ_MULTIPLE_MYELOMA_UP	GUTIERREZ_MULTIPLE_MYELOMA_UP	16	0.591025196879425	1.78025547332398	0.0166129294124208	1	1	1810	tags=69%, list=26%, signal=51%	CD47/CNIH1/CANX/ALG8/EMC7/PTP4A1/ETF1/CSDE1/ATP6V0E1/EID1/DCTD
KUNINGER_IGF1_VS_PDGFB_TARGETS_UP	KUNINGER_IGF1_VS_PDGFB_TARGETS_UP	17	-0.725183072054006	-1.74346827115502	0.00575677179904432	1	1	556	tags=29%, list=8%, signal=27%	DCLK1/ACTC1/C1QTNF3/COX6A2/ACTA1
YU_MYC_TARGETS_UP	YU_MYC_TARGETS_UP	19	0.559834241700453	1.74107706070923	0.0367557353951226	1	1	1268	tags=68%, list=18%, signal=56%	ECT2/CDKN3/CDK1/CKS1B/BRCA2/CCNB2/CKS2/CCNB1/BUB1/CLIC4/ASPM/DTL/ANLN
YEGNASUBRAMANIAN_PROSTATE_CANCER	YEGNASUBRAMANIAN_PROSTATE_CANCER	42	0.46478170396126	1.73213719988226	0.0193796688877031	1	1	427	tags=24%, list=6%, signal=22%	ALB/CLGN/DHRS2/FECH/DBT/ALDH3A2/OCLNP1/ALDH6A1/EEF1A2/DDC
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	15	0.56772167865696	1.69911058632525	0.0456223650977499	1	1	1449	tags=67%, list=21%, signal=53%	SULT1C2/CHAC2/ACSM1/ABHD10/GLYATL2/AS3MT/ESD/GSTM3/ABHD14B/BPNT1
FARMER_BREAST_CANCER_CLUSTER_2	FARMER_BREAST_CANCER_CLUSTER_2	15	0.567721552524351	1.69911020882821	0.0456223650977499	1	1	1564	tags=60%, list=22%, signal=47%	KIF11/CEP55/CCNB2/NEK2/BUB1/ASPM/CCNA2/RAD54B/ARMC1
ONDER_CDH1_TARGETS_1_DN	ONDER_CDH1_TARGETS_1_DN	53	0.450503842808419	1.6681280233624	0.0219802881054243	1	1	896	tags=26%, list=13%, signal=23%	KRT13/ADAMTS1/CHRNA5/B3GNT2/DKK1/IL1B/CXCL1/ATP13A3/EHF/BRCA2/CANX/CALM1/CYB5R2/DHX9
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	31	0.483669080827501	1.66467865144867	0.0417296424539814	1	1	931	tags=32%, list=13%, signal=28%	PTPRZ1/IGSF5/CXCL1/ATP6V1C1/ATP6V1D/ATP6V1A/CHUK/ATP6V1E1/ADAM10/CDC42
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_UP	SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_UP	19	-0.678961919421605	-1.65893548368861	0.0130750999964888	1	1	789	tags=37%, list=11%, signal=33%	CRISP3/AMPD3/COL9A2/ABCC8/CACNA1D/ERG/CADPS
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	35	0.486727244434276	1.65299546012901	0.0452899020676819	1	1	847	tags=40%, list=12%, signal=35%	CD36/NTRK2/CYP4X1/CHL1/FAM3B/CYP2J2/APLP2/BORCS7/EHF/CCPG1/ANXA3/ELF5/CYB5R2/DST
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2	WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2	22	-0.659162686763116	-1.65125242353089	0.0235735095870891	1	1	1973	tags=77%, list=28%, signal=56%	CCL21/CD40/ETS1/CD69/BCR/BCL6/BACH2/CR1/CXCR4/EBI3/CXCL13/C3/CCR7/CD22/C4A/CCL19/CD79A
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM	15	0.550331546489618	1.64706438345164	0.0489103775260335	1	1	1401	tags=73%, list=20%, signal=59%	EHHADH/ALDH3A2/ACAT2/ALDH2/DDC/ECHS1/ALDH9A1/ACAT1/CAT/ALDH7A1/AOX1
IKEDA_MIR1_TARGETS_UP	IKEDA_MIR1_TARGETS_UP	18	0.535189085075619	1.64080188507281	0.0436425194913056	1	1	871	tags=39%, list=12%, signal=34%	EFNB2/ATP6V1A/ARCN1/ARF4/CRIM1/ARFIP1/CNN3
LEE_LIVER_CANCER_MYC_E2F1_DN	LEE_LIVER_CANCER_MYC_E2F1_DN	16	0.544294751731515	1.63949644784641	0.0342406203811001	1	1	5	tags=6%, list=0%, signal=6%	ORM2
PASINI_SUZ12_TARGETS_UP	PASINI_SUZ12_TARGETS_UP	23	0.520362120540931	1.63587704210226	0.015733094470471	1	1	1028	tags=30%, list=15%, signal=26%	LIPH/ASS1/ALDH6A1/FBXO15/C15orf48/CDC5L/ACAA2
DE_YY1_TARGETS_DN	DE_YY1_TARGETS_DN	33	0.482563413945503	1.63046877071603	0.0404944207922885	1	1	1387	tags=55%, list=20%, signal=44%	ECT2/CDK1/ANGPT1/FAS/CD2AP/EPHA3/CAPZA2/DST/PTP4A1/AGGF1/CYLD/CALD1/CLIC4/CCNG1/CDC27/EGF/CUL5/ERBIN
SESTO_RESPONSE_TO_UV_C8	SESTO_RESPONSE_TO_UV_C8	18	0.528156920002276	1.61924242126788	0.0485337265204476	1	1	947	tags=28%, list=14%, signal=24%	PTPRZ1/COL17A1/ALCAM/DST/ALDH9A1
NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	19	-0.662319944119611	-1.61827346339347	0.0180560242375591	1	1	905	tags=68%, list=13%, signal=60%	AXIN1/CLCN7/FBXL16/CHTF18/BAIAP3/CRAMP1/CAPN15/CIAO3/ARHGDIG/CCDC78/EME2/PDIA2/CACNA1H
BIDUS_METASTASIS_UP	BIDUS_METASTASIS_UP	68	0.41916505155681	1.6165633933367	0.0201444030527169	1	1	1574	tags=47%, list=23%, signal=37%	DEPDC1/ARX/CCDC15/ECT2/CDK1/CBLL1/KIF11/FANCI/CSE1L/CCNB2/DLGAP5/EIF4E/CCDC47/PTP4A1/CENPF/COPS8/ARPP19/CCNB1/ATF2/CREB5/CHEK1/BUB1/AZI2/C5orf22/CAND1/CCNA2/CKAP5/AZIN1/CDC23/CEP57/CCNY/KCTD6
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	18	-0.66401604985337	-1.60703005295417	0.021452389707401	1	1	928	tags=33%, list=13%, signal=29%	CARD11/CD79B/IGLV1-44/CD22/CD79A/IGHV1-46
BONCI_TARGETS_OF_MIR15A_AND_MIR16_1	BONCI_TARGETS_OF_MIR15A_AND_MIR16_1	29	0.457379213387651	1.59752309694182	0.0452392888317982	1	1	514	tags=28%, list=7%, signal=26%	BCL2/ADAMTS3/FGF7/BMPR1A/EFNB2/AKT3/CPD/CDC25A
YAMASHITA_LIVER_CANCER_STEM_CELL_DN	YAMASHITA_LIVER_CANCER_STEM_CELL_DN	22	0.500260323026867	1.59064473837665	0.0472484082741871	1	1	334	tags=18%, list=5%, signal=17%	SULT1C2/FABP5/ACSL5/ALDH6A1
BROWNE_HCMV_INFECTION_30MIN_UP	BROWNE_HCMV_INFECTION_30MIN_UP	16	0.524563679343422	1.58006353398941	0.0427475083045486	1	1	33	tags=12%, list=0%, signal=12%	ALB/CD38
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	52	0.42986218758892	1.57775294013173	0.0420613906067834	1	1	1459	tags=52%, list=21%, signal=41%	DLD/FH/COX6C/ATP5MG/ATP5F1A/ETFA/COX7B/COX18/CYCS/ATP5ME/ATP5MF/ATP5PF/DLAT/ATP5PB/COX6A1/ATP5PO/ATP5F1B/ATP5F1E/ETFDH/ATP5F1C/ATP5PD/COX5B/COX5A/ATP5MC1/COX8A/COQ10B/ATP5MC2
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	89	-0.54074402835242	-1.57510958864022	0.049163179916318	1	1	2366	tags=65%, list=34%, signal=44%	COPS7B/AMPD2/CMTR1/EPN1/ARMC6/CNTROB/CFAP410/DEPDC5/ARHGEF2/CPSF7/CC2D1B/DAGLB/ARHGAP30/EVI5L/BRD1/ATAD3A/DAZAP1/DRG2/AP5Z1/HAUS8/CYBA/LINC02693/CCAR2/DMWD/DXO/ATN1/FBXO46/ACIN1/ATXN2L/EHMT2/CNOT3/DENND4B/DDX39B/ANKRD13D/ABCA7/CIC/CUL9/CSNK1G2/CACTIN/FBXL19/APBA3/FANCA/CSNK1E/ABCC10/DPH7/ACAP1/CAPN15/DDX11/ATAT1/BICRA/FBRSL1/CAMK2B/CLASRP/ENGASE/ATAD3B/CDK3/DOT1L/CYP2D7
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	29	0.450712512295911	1.57423780398856	0.0497310612066645	1	1	847	tags=41%, list=12%, signal=37%	NTRK2/CX3CR1/CYP4X1/EFS/ATP11B/CYP2J2/APLP2/EHF/CITED1/ELF5/CYB5R2/DST
BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY	16	-0.659160900662827	-1.56733082375859	0.0350665054413543	1	1	44	tags=31%, list=1%, signal=31%	CTF1/EDN1/CREBBP/AGT/ACTA1
WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE	WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE	16	0.512622655784699	1.54409540156502	0.0457374956577007	1	1	964	tags=44%, list=14%, signal=38%	DNAJB9/ERP27/DNAJC3/EIF2A/DNAJB11/ATF6/CALR
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_UP	POMEROY_MEDULLOBLASTOMA_PROGNOSIS_UP	15	-0.658609499157567	-1.5435904744114	0.0365853658536585	1	1	1534	tags=40%, list=22%, signal=31%	COL6A2/ACADVL/ASIC1/AMT/AP3B2/ETV4
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	51	0.418372572098979	1.53475184638185	0.0491117986608654	1	1	1328	tags=33%, list=19%, signal=27%	ALB/AKT3/COX6C/CUL1/COX7B/COX18/CYCS/BLVRA/COX6A1/BRCA1/ERO1A/BLVRB/CAT/CUL3/BACH1/COX5B/COX5A
REACTOME_IRON_UPTAKE_AND_TRANSPORT	REACTOME_IRON_UPTAKE_AND_TRANSPORT	25	0.468620786941096	1.52188431467732	0.0443639820267814	1	1	1327	tags=40%, list=19%, signal=33%	ATP6V1C1/ATP6V1D/ABCG2/ATP6V1A/CUL1/FBXL5/ATP6V1E1/ATP6V1F/CAND1/ATP6V0E2
TOMLINS_PROSTATE_CANCER_UP	TOMLINS_PROSTATE_CANCER_UP	15	-0.647762432296219	-1.5181680820774	0.0414634146341463	1	1	806	tags=27%, list=12%, signal=24%	BICD1/DAPK1/CACNA1D/ERG
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	36	-0.559637099636343	-1.51458998589609	0.0404814004376368	1	1	1682	tags=47%, list=24%, signal=36%	CD40/CD33/CD226/FCGR1A/CD3G/COL1A1/CD3D/CD96/CD247/CD8A/IGLV1-44/CD3E/CD8B/C3/CD22/COL2A1/IGHV1-46
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10	YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10	25	0.465383817673263	1.51137199236237	0.0455549437631188	1	1	1149	tags=40%, list=16%, signal=34%	COX17/C9orf64/DAD1/ADK/ARCN1/CANX/AP3M1/CHCHD7/FKBP2/ATF1
VILIMAS_NOTCH1_TARGETS_UP	VILIMAS_NOTCH1_TARGETS_UP	25	-0.587875702383143	-1.50578172769596	0.0364880273660205	1	1	2039	tags=64%, list=29%, signal=45%	TRAF1/CD74/CD2/EGR1/CCL5/CD3G/CD69/DDR1/CTLA4/CD3D/BCL2A1/CARD11/TRAT1/GATA3/CD7/CCR7
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	21	0.482694589236674	1.50069301001492	0.0477361616342996	1	1	892	tags=38%, list=13%, signal=33%	EHHADH/ASS1/DNAJC13/ACTL6A/CDKN2C/ALG6/C9orf40/FAM111B
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	20	-0.607515432320222	-1.49566137597516	0.0485781990521327	1	1	856	tags=40%, list=12%, signal=35%	FCGR1A/CD3G/FGR/CD247/IGLV1-44/ADCY1/ADCY7/IGHV1-46
PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY	22	-0.59294177610024	-1.48536402994256	0.040650406504065	1	1	2464	tags=64%, list=35%, signal=41%	COL6A3/CD14/COL5A1/COL4A4/COL18A1/COL4A3/F13A1/COL6A2/COL1A1/COL7A1/CSPG4/COL6A1/COL11A1/COL2A1
DURCHDEWALD_SKIN_CARCINOGENESIS_UP	DURCHDEWALD_SKIN_CARCINOGENESIS_UP	21	-0.592216394284207	-1.48009896636519	0.0486111111111111	1	1	949	tags=29%, list=14%, signal=25%	E4F1/CA2/ARRDC2/ACOXL/CASZ1/DAPL1
BROWNE_HCMV_INFECTION_4HR_DN	BROWNE_HCMV_INFECTION_4HR_DN	57	-0.524582482456783	-1.47819180699965	0.0405549626467449	1	1	1320	tags=28%, list=19%, signal=23%	DXO/FBXO46/ADM/CLK2/ARHGEF4/AP1G2/GPSM3/AHDC1/ABCC10/CXCL13/FCMR/CPSF1/CAPN5/CCL19/EPHA5/ETV1
LAIHO_COLORECTAL_CANCER_SERRATED_DN	LAIHO_COLORECTAL_CANCER_SERRATED_DN	27	-0.566495649005628	-1.46160283058677	0.04337899543379	1	1	2005	tags=63%, list=29%, signal=45%	ATP7B/CLCN7/BRD1/CCDC9/CDK5RAP3/APBB3/CPNE1/EPHB2/ATN1/FBXO46/ASXL1/DLGAP4/ECHDC2/AKAP17A/DDX11/ARHGAP8/ENGASE
