新版序号	risk	risk
T120	high	high
T565	high	high
T600	high	high
T330	high	high
T19	high	high
T521	high	high
T508	high	high
T434	high	high
T637	high	high
T574	high	high
T405	high	high
T576	high	high
T473	high	high
T585	high	high
T32	high	high
T216	high	high
T109	high	high
T6	high	high
T319	high	high
T139	high	high
T325	high	high
T233	high	high
T60	high	high
T47	high	high
T71	high	high
T57	high	high
T608	high	high
T587	high	high
T231	high	high
T265	high	high
T162	high	high
T607	high	high
T172	high	high
T67	high	high
T487	high	high
T326	high	high
T509	high	high
T201	high	high
T85	high	high
T84	high	high
T258	high	high
T92	high	high
T61	high	high
T467	high	high
T340	high	high
T237	high	high
T375	high	high
T431	high	high
T480	high	high
T50	high	high
T18	high	high
T329	high	high
T563	high	high
T114	high	high
T26	high	high
T482	high	high
T28	high	high
T513	high	high
T335	high	high
T705	high	high
T283	high	high
T210	high	high
T232	high	high
T728	high	high
T202	high	high
T62	high	high
T133	high	high
T54	low	low
T23	low	low
T209	low	low
T613	low	low
T727	low	low
T314	low	low
T349	low	low
T10	low	low
T312	low	low
T373	low	low
T643	low	low
T595	low	low
T34	low	low
T123	low	low
T551	low	low
T31	low	low
T69	low	low
T286	low	low
T399	low	low
T577	low	low
T12	low	low
T716	low	low
T271	low	low
T384	low	low
T393	low	low
T378	low	low
T273	low	low
T558	low	low
T198	low	low
T334	low	low
T1	low	low
T408	low	low
T502	low	low
T289	low	low
T498	low	low
T111	low	low
T342	low	low
T166	low	low
T318	low	low
T229	low	low
T96	low	low
T124	low	low
T185	low	low
T496	low	low
T605	low	low
T72	low	low
T182	low	low
T103	low	low
T339	low	low
T515	low	low
T300	low	low
T58	low	low
T659	low	low
T178	low	low
T78	low	low
T729	low	low
T391	low	low
T186	low	low
T125	low	low
T160	low	low
T167	low	low
T279	low	low
T250	low	low
T64	low	low
T132	low	low
T438	low	low
T661	low	low
